t(s),roll(rad),pitch(rad),yaw(rad),roll(deg),pitch(deg),yaw(deg)
554040.5024820000,0.0055178683,-0.0112196642,0.2028981688,0.3161505661,-0.6428394034,11.6252087447
554041.5000005000,0.0055118034,-0.0112563950,0.1894314770,0.3158030720,-0.6449439246,10.8536241398
554042.4975185000,0.0054936503,-0.0112071567,0.1880935958,0.3147629742,-0.6421227785,10.7769691920
554043.4975365000,0.0055115263,-0.0112132562,0.1899766666,0.3157871967,-0.6424722573,10.8848612004
554044.4975550000,0.0055060512,-0.0112129779,0.2004835612,0.3154734946,-0.6424563117,11.4868619200
554045.4975735000,0.0055177890,-0.0111891268,0.2173712054,0.3161460208,-0.6410897422,12.4544526587
554046.4975914999,0.0055121577,-0.0111943228,0.2208432320,0.3158233711,-0.6413874518,12.6533851277
554047.4976095000,0.0054754090,-0.0112128504,0.2159684404,0.3137178264,-0.6424490063,12.3740801414
554048.4976275000,0.0054999505,-0.0112068488,0.2441301677,0.3151239499,-0.6421051391,13.9876282591
554049.4976455000,0.0055057392,-0.0111948717,0.1931635922,0.3154556198,-0.6414189026,11.0674585907
554050.4976635000,0.0055239970,-0.0112072721,0.1887425962,0.3165017167,-0.6421293931,10.8141541783
554051.4976815000,0.0055300572,-0.0112008434,0.1986945476,0.3168489358,-0.6417610514,11.3843589891
554052.4976995001,0.0055061001,-0.0111763957,0.2081550138,0.3154762994,-0.6403603059,11.9264037744
554053.4977175000,0.0054813962,-0.0111823031,0.2232051026,0.3140608693,-0.6406987714,12.7887103463
554054.4977365000,0.0054751914,-0.0111886534,0.2342675538,0.3137053587,-0.6410626175,13.4225421092
554055.4977545000,0.0055115894,-0.0111828807,0.2452440302,0.3157908121,-0.6407318688,14.0514478828
554056.4977725000,0.0054875550,-0.0111825925,0.1922544813,0.3144137438,-0.6407153529,11.0153703736
554057.4977905001,0.0055543685,-0.0112074805,0.2028002316,0.3182418751,-0.6421413313,11.6195973572
554058.4978085000,0.0055120277,-0.0111888042,0.1885112749,0.3158159216,-0.6410712593,10.8009004434
554059.4978265000,0.0054570774,-0.0112190939,0.2128399370,0.3126675017,-0.6428067289,12.1948301012
554060.4978445000,0.0055057273,-0.0112430895,0.2037970976,0.3154549375,-0.6441815799,11.6767135667
554061.4978625000,0.0054932412,-0.0111706132,0.2193601601,0.3147395394,-0.6400289904,12.5684113643
554062.4978805000,0.0055117862,-0.0112070009,0.2170690871,0.3158020870,-0.6421138518,12.4371425548
554063.4978990000,0.0054934969,-0.0112007930,0.2159051466,0.3147541889,-0.6417581667,12.3704536734
554064.4979175000,0.0055242541,-0.0111950313,0.2176950169,0.3165164452,-0.6414280423,12.4730056878
554065.4979355000,0.0055242677,-0.0111827578,0.2306943060,0.3165172256,-0.6407248225,13.2178100907
554066.4979535000,0.0055058679,-0.0111883369,0.2023607318,0.3154629905,-0.6410444827,11.5944158700
554067.4979715000,0.0055240757,-0.0112193819,0.2139979419,0.3165062224,-0.6428232310,12.2611788946
554068.4979894999,0.0055117200,-0.0112011923,0.2096001548,0.3157982924,-0.6417810432,12.0092042575
554069.4980075000,0.0054447797,-0.0112006313,0.2060983213,0.3119628985,-0.6417489035,11.8085639772
554070.4980255000,0.0055118889,-0.0111886502,0.2243720178,0.3158079708,-0.6410624359,12.8555696629
554071.4980435000,0.0054936854,-0.0112012193,0.1999777407,0.3147649856,-0.6417825937,11.4578805412
554072.4980615000,0.0054693154,-0.0112245379,0.2192634899,0.3133686894,-0.6431186510,12.5628725703
554073.4980804999,0.0055057712,-0.0111887772,0.2287919325,0.3154574520,-0.6410697137,13.1088121191
554074.4980980000,0.0054630259,-0.0112008332,0.2200686638,0.3130083263,-0.6417604703,12.6090056383
554075.4981165000,0.0055119163,-0.0112253466,0.2154682831,0.3158095411,-0.6431649854,12.3454232385
554076.4981345000,0.0055299284,-0.0111888774,0.2210447764,0.3168415592,-0.6410754518,12.6649327724
554077.4981525000,0.0054693681,-0.0112372189,0.2266087153,0.3133717105,-0.6438452181,12.9837229893
554078.4981705000,0.0055052872,-0.0111830232,0.2218223952,0.3154297235,-0.6407400335,12.7094870476
554079.4981885001,0.0055060551,-0.0111884090,0.1865689173,0.3154737174,-0.6410486151,10.6896115502
554080.4982065000,0.0054997110,-0.0111825845,0.2096805905,0.3151102279,-0.6407148962,12.0138128797
554081.4982245000,0.0055117240,-0.0111949462,0.2116699980,0.3157985248,-0.6414231714,12.1277975366
554082.4982425000,0.0055300634,-0.0111830432,0.2156869311,0.3168492915,-0.6407411759,12.3579508498
554083.4982615000,0.0054814187,-0.0112073582,0.2165702150,0.3140621586,-0.6421343263,12.4085592872
554084.4982795001,0.0054809027,-0.0111829936,0.1980284945,0.3140325946,-0.6407383370,11.3461969558
554085.4982975000,0.0055245866,-0.0112374333,0.2234709140,0.3165354951,-0.6438574986,12.8039402183
554086.4983155000,0.0055116642,-0.0112195350,0.2065233605,0.3157950972,-0.6428320017,11.8329169292
554087.4983335000,0.0055299772,-0.0111951826,0.2161211597,0.3168443521,-0.6414367142,12.3828303133
554088.4983515000,0.0054937493,-0.0112068882,0.2136313955,0.3147686511,-0.6421073927,12.2401773340
554089.4983695000,0.0055117475,-0.0111889277,0.2091791177,0.3157998708,-0.6410783363,11.9850806064
554090.4983874999,0.0055119349,-0.0111947241,0.2069254642,0.3158106059,-0.6414104444,11.8559557731
554091.4984055000,0.0055177938,-0.0111765402,0.1922353334,0.3161462967,-0.6403685831,11.0142732754
554092.4984245000,0.0054939837,-0.0112005548,0.2391709869,0.3147820765,-0.6417445192,13.7034881294
